CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Author
0.054945054945054944,0.0,0.12987012987012986,0.0,0.0,0.16083916083916083,0.07892107892107893,0.003996003996003996,0.003996003996003996,0.007992007992007992,0.17782217782217782,0.000999000999000999,0.059940059940059943,0.003996003996003996,0.03596403596403597,0.015984015984015984,0.03996003996003996,0.002997002997002997,0.001998001998001998,0.000999000999000999,0.024975024975024976,0.025974025974025976,0.014985014985014986,0.013986013986013986,0.03196803196803197,0.023976023976023976,0.05094905094905095,0.025974025974025976,0.003996003996003996,0.0,0.001998001998001998,ps
0.054,0.003,0.148,0.001,0.0,0.161,0.083,0.004,0.003,0.011,0.19,0.0,0.074,0.001,0.027,0.017,0.028,0.003,0.001,0.001,0.027,0.032,0.024,0.012,0.038,0.017,0.02,0.012,0.005,0.0,0.002,ps
0.054945054945054944,0.000999000999000999,0.14285714285714285,0.0,0.000999000999000999,0.15984015984015984,0.08191808191808192,0.0,0.004995004995004995,0.011988011988011988,0.1938061938061938,0.0,0.07192807192807193,0.001998001998001998,0.028971028971028972,0.02097902097902098,0.022977022977022976,0.003996003996003996,0.001998001998001998,0.0,0.01998001998001998,0.028971028971028972,0.03696303696303696,0.006993006993006993,0.04195804195804196,0.016983016983016984,0.01898101898101898,0.017982017982017984,0.001998001998001998,0.001998001998001998,0.001998001998001998,ps
0.051,0.006,0.134,0.0,0.0,0.157,0.093,0.001,0.003,0.008,0.21,0.0,0.042,0.001,0.029,0.023,0.027,0.002,0.004,0.001,0.026,0.029,0.03,0.016,0.041,0.017,0.029,0.014,0.004,0.001,0.001,ps
0.048,0.003,0.138,0.002,0.0,0.146,0.074,0.011,0.009,0.014,0.186,0.0,0.057,0.001,0.036,0.013,0.035,0.002,0.0,0.002,0.024,0.033,0.013,0.015,0.039,0.044,0.032,0.015,0.006,0.0,0.002,ps
0.05982053838484546,0.0009970089730807576,0.16350947158524426,0.0009970089730807576,0.0,0.14456630109670987,0.06979062811565304,0.0019940179461615153,0.006979062811565304,0.01296111665004985,0.19441674975074777,0.0,0.05084745762711865,0.0,0.036889332003988036,0.011964107676969093,0.03290129611166501,0.0009970089730807576,0.003988035892323031,0.0009970089730807576,0.027916251246261216,0.028913260219341975,0.00897308075772682,0.018943170488534396,0.027916251246261216,0.01794616151545364,0.04386839481555334,0.019940179461615155,0.006979062811565304,0.0009970089730807576,0.0029910269192422734,ps
0.052,0.002,0.126,0.002,0.001,0.138,0.08,0.0,0.01,0.008,0.175,0.0,0.058,0.001,0.059,0.022,0.022,0.001,0.008,0.0,0.034,0.032,0.013,0.012,0.03,0.031,0.056,0.018,0.005,0.0,0.004,ps
0.042884990253411304,0.009746588693957114,0.1354775828460039,0.0009746588693957114,0.0,0.14327485380116958,0.07797270955165692,0.0009746588693957114,0.0,0.003898635477582846,0.20955165692007796,0.007797270955165692,0.05847953216374269,0.0029239766081871343,0.038011695906432746,0.03898635477582846,0.037037037037037035,0.0,0.001949317738791423,0.003898635477582846,0.012670565302144249,0.016569200779727095,0.06530214424951267,0.025341130604288498,0.024366471734892786,0.011695906432748537,0.01364522417153996,0.004873294346978557,0.005847953216374269,0.001949317738791423,0.003898635477582846,ms
0.0506454816285998,0.006951340615690168,0.10824230387288977,0.0,0.0009930486593843098,0.141012909632572,0.06156901688182721,0.0019860973187686196,0.0029791459781529296,0.009930486593843098,0.18768619662363456,0.0,0.05263157894736842,0.0,0.06454816285998013,0.05660377358490566,0.04568023833167825,0.0029791459781529296,0.0,0.0019860973187686196,0.024826216484607744,0.029791459781529295,0.0804369414101291,0.012909632571996028,0.029791459781529295,0.006951340615690168,0.004965243296921549,0.006951340615690168,0.0029791459781529296,0.0,0.003972194637537239,ms
0.03753609239653513,0.0038498556304138597,0.10875842155919153,0.0038498556304138597,0.0,0.12704523580365737,0.08950914340712224,0.0019249278152069298,0.0009624639076034649,0.011549566891241578,0.17613089509143406,0.016361886429258902,0.03657362848893166,0.0019249278152069298,0.07025986525505294,0.03368623676612127,0.04427333974975938,0.0038498556304138597,0.0,0.0028873917228103944,0.02406159769008662,0.03176130895091434,0.08565928777670838,0.010587102983638113,0.02406159769008662,0.023099133782483156,0.015399422521655439,0.0019249278152069298,0.005774783445620789,0.0009624639076034649,0.005774783445620789,ms
